Provider Number,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia
12559,11.1,No Different than U.S. National Rate,7.9,15.5,73,17.4,No Different than U.S. National Rate,13.5,22.1,74
12560,12,No Different than U.S. National Rate,8.5,16.3,73,18.5,No Different than U.S. National Rate,14.6,23.4,73
12561,12.4,No Different than U.S. National Rate,8.5,17.6,42,20.2,No Different than U.S. National Rate,15.7,25.4,45
12562,12,No Different than U.S. National Rate,8.4,16.7,60,17.4,No Different than U.S. National Rate,13.5,22,62
12563,9.7,No Different than U.S. National Rate,6.8,13.8,128,16.2,No Different than U.S. National Rate,12.9,20.4,140
12564,12.8,No Different than U.S. National Rate,9.3,17.6,95,20.1,No Different than U.S. National Rate,16,25.3,95
12565,12.5,No Different than U.S. National Rate,8.6,17.6,59,17.9,No Different than U.S. National Rate,13.9,22.6,56
12566,15.8,No Different than U.S. National Rate,11.2,22,39,19.6,No Different than U.S. National Rate,15.3,25,36
12567,11,No Different than U.S. National Rate,7.4,15.6,74,18.8,No Different than U.S. National Rate,14.9,23.6,82
12568,11.2,No Different than U.S. National Rate,7.9,15.9,83,18.6,No Different than U.S. National Rate,14.8,23,85
12569,11.6,No Different than U.S. National Rate,7.7,16.7,45,19.2,No Different than U.S. National Rate,15,24.3,46
12570,11.9,No Different than U.S. National Rate,8.3,16.8,55,19.5,No Different than U.S. National Rate,15.1,24.2,62
12571,11.9,No Different than U.S. National Rate,8,17.3,41,19.3,No Different than U.S. National Rate,14.9,24.5,44
12572,13.2,No Different than U.S. National Rate,9.4,18.1,94,18.9,No Different than U.S. National Rate,15,23.3,97
12573,10.9,No Different than U.S. National Rate,7.5,15.3,35,18.8,No Different than U.S. National Rate,14.7,23.6,36
12574,17.8,Worse than U.S. National Rate,13.1,23.4,87,18.5,No Different than U.S. National Rate,14.6,23.4,84
12575,9.5,No Different than U.S. National Rate,6.9,13.1,144,17.3,No Different than U.S. National Rate,13.9,21.2,134
12576,10.2,No Different than U.S. National Rate,7.3,14.2,104,18.9,No Different than U.S. National Rate,14.9,23.3,112
12577,10.2,No Different than U.S. National Rate,7.4,13.9,133,19.6,No Different than U.S. National Rate,15.9,24.1,139
12578,15.8,No Different than U.S. National Rate,11.9,20.6,127,18.9,No Different than U.S. National Rate,15,23.3,128
12579,15.5,No Different than U.S. National Rate,11.7,20.4,129,18,No Different than U.S. National Rate,14.4,22.3,124
12580,12.1,No Different than U.S. National Rate,9.1,16,185,20.9,No Different than U.S. National Rate,17.1,25.3,204
12581,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12582,15.3,Worse than U.S. National Rate,12.8,18.4,415,21.6,No Different than U.S. National Rate,18.4,24.9,434
12583,15,Worse than U.S. National Rate,12.1,18.3,383,18.6,No Different than U.S. National Rate,15.9,21.7,398
12584,10.9,No Different than U.S. National Rate,7.8,14.8,94,16.8,No Different than U.S. National Rate,13.4,20.8,100
12585,12.9,No Different than U.S. National Rate,9.6,17.2,158,20.2,No Different than U.S. National Rate,16.4,24.5,172
12586,11.6,No Different than U.S. National Rate,8.6,15.5,144,18.1,No Different than U.S. National Rate,14.9,22.2,153
12587,12.5,No Different than U.S. National Rate,9.5,16.2,241,15.1,No Different than U.S. National Rate,12.4,18.9,254
12588,14.8,No Different than U.S. National Rate,12,18,342,17.5,No Different than U.S. National Rate,14.7,20.6,377
12589,14.8,No Different than U.S. National Rate,11.1,19.3,140,22.6,No Different than U.S. National Rate,18.5,26.8,163
12590,15.3,Worse than U.S. National Rate,12.7,18.1,458,19.4,No Different than U.S. National Rate,16.6,22.4,494
12591,Not Available,Number of Cases Too Small,Not Available,Not Available,8,Not Available,Number of Cases Too Small,Not Available,Not Available,6
12592,14.5,No Different than U.S. National Rate,11.6,18.2,251,21.6,No Different than U.S. National Rate,18.2,25.1,267
12593,13.7,No Different than U.S. National Rate,10.9,17.2,298,21,No Different than U.S. National Rate,17.6,24.6,300
12594,11,No Different than U.S. National Rate,8.2,14.6,181,17.7,No Different than U.S. National Rate,14.5,21.6,197
12595,11.7,No Different than U.S. National Rate,8.3,16.1,104,18.4,No Different than U.S. National Rate,14.6,22.9,115
12596,10.7,No Different than U.S. National Rate,8.6,13.1,497,20.3,No Different than U.S. National Rate,17.7,23.4,499
12597,12.2,No Different than U.S. National Rate,9.8,15.2,355,18.9,No Different than U.S. National Rate,16.1,22,366
12598,13.6,No Different than U.S. National Rate,10.6,17.1,261,17.9,No Different than U.S. National Rate,15.1,21.2,275
12599,7.8,Better than U.S. National Rate,5.6,10.4,201,19.2,No Different than U.S. National Rate,15.9,22.7,231
12600,10.9,No Different than U.S. National Rate,8,14.5,160,18.3,No Different than U.S. National Rate,15,22.1,180
12601,12.5,No Different than U.S. National Rate,9.1,16.8,134,16.7,No Different than U.S. National Rate,13.2,20.9,145
12602,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12603,10.6,No Different than U.S. National Rate,7.9,14.1,161,19.4,No Different than U.S. National Rate,15.7,23.3,170
12604,13.4,No Different than U.S. National Rate,10,17.5,101,18.1,No Different than U.S. National Rate,14.6,22.2,103
12605,14.4,No Different than U.S. National Rate,10.5,19.5,102,16.5,No Different than U.S. National Rate,13,20.8,127
12606,10.8,No Different than U.S. National Rate,7.3,15.6,63,18.3,No Different than U.S. National Rate,14.3,23.1,71
12607,13.9,No Different than U.S. National Rate,9.7,20.1,35,17.9,No Different than U.S. National Rate,13.9,22.9,29
12608,14.5,No Different than U.S. National Rate,10.4,20,71,17.4,No Different than U.S. National Rate,13.6,21.9,73
12609,10.8,No Different than U.S. National Rate,7.7,15.1,75,18.3,No Different than U.S. National Rate,14.5,22.8,73
12610,14.3,No Different than U.S. National Rate,12,16.9,666,18.8,No Different than U.S. National Rate,16.4,21.3,705
12611,13.4,No Different than U.S. National Rate,10.7,16.6,317,17.5,No Different than U.S. National Rate,14.7,20.5,360
12612,15.7,Worse than U.S. National Rate,12.4,19.5,243,16.7,No Different than U.S. National Rate,13.9,20.1,248
12613,12.4,No Different than U.S. National Rate,10,15.2,330,17.3,No Different than U.S. National Rate,14.5,20.7,326
12614,15.6,Worse than U.S. National Rate,13.1,18.2,475,19,No Different than U.S. National Rate,16.3,21.8,471
12615,10.7,No Different than U.S. National Rate,8.1,14.1,240,16.7,No Different than U.S. National Rate,13.7,20.3,245
12616,11.5,No Different than U.S. National Rate,8.7,15,230,19.3,No Different than U.S. National Rate,16.1,22.9,237
12617,10.8,No Different than U.S. National Rate,8.3,13.5,283,17.5,No Different than U.S. National Rate,14.5,20.7,290
12618,11.9,No Different than U.S. National Rate,9.5,14.6,344,16.3,No Different than U.S. National Rate,13.6,19.4,337
12619,10.8,No Different than U.S. National Rate,8.5,13.5,315,19.2,No Different than U.S. National Rate,16.2,22.5,330
12620,8.2,Better than U.S. National Rate,6.2,10.5,298,16.1,No Different than U.S. National Rate,13.5,19.6,300
12621,12.2,No Different than U.S. National Rate,9.1,16,174,16.1,No Different than U.S. National Rate,12.9,19.9,171
12622,11.5,No Different than U.S. National Rate,9.4,14.1,385,16.5,No Different than U.S. National Rate,14,19.6,401
12623,14.5,No Different than U.S. National Rate,10.2,19.8,61,16.2,No Different than U.S. National Rate,12.6,20.6,60
12624,13.1,No Different than U.S. National Rate,9.3,18.3,93,17.6,No Different than U.S. National Rate,13.8,22.1,95
12625,14.8,No Different than U.S. National Rate,11.2,19.4,134,19.9,No Different than U.S. National Rate,16,24.1,136
12626,14.2,No Different than U.S. National Rate,10.5,19.1,128,20,No Different than U.S. National Rate,16.4,24.2,140
12627,14.6,No Different than U.S. National Rate,10.8,19.1,116,18.8,No Different than U.S. National Rate,15,23.2,133
12628,10.6,No Different than U.S. National Rate,7.1,15.7,35,18.2,No Different than U.S. National Rate,13.9,23.5,33
12629,14.1,No Different than U.S. National Rate,11,18.2,175,14.4,Better than U.S. National Rate,11.5,18.2,183
12630,13.9,No Different than U.S. National Rate,10,18.9,102,16.7,No Different than U.S. National Rate,13,20.9,98
12631,13.1,No Different than U.S. National Rate,9.4,17.8,97,16.5,No Different than U.S. National Rate,12.9,21.2,94
12632,14.6,No Different than U.S. National Rate,11.3,19.2,163,17,No Different than U.S. National Rate,13.8,20.9,163
12633,11.7,No Different than U.S. National Rate,8.4,16.1,108,18.2,No Different than U.S. National Rate,14.6,22.4,106
12634,11.7,No Different than U.S. National Rate,8.4,16.2,103,19,No Different than U.S. National Rate,15.2,23.5,111
12635,13.6,No Different than U.S. National Rate,10.4,17.7,150,17.8,No Different than U.S. National Rate,14.3,21.9,145
12636,9.7,Better than U.S. National Rate,8.2,11.5,837,20.3,No Different than U.S. National Rate,17.9,22.5,854
12637,11.2,No Different than U.S. National Rate,8.7,14.3,248,20.8,No Different than U.S. National Rate,17.4,24.1,254
12638,11.7,No Different than U.S. National Rate,9.3,14.7,302,18.2,No Different than U.S. National Rate,15.2,21.6,288
12639,12.1,No Different than U.S. National Rate,9.7,15,358,17,No Different than U.S. National Rate,14.3,20.2,350
12640,14.1,No Different than U.S. National Rate,11.8,16.6,534,21.3,No Different than U.S. National Rate,18.4,24.2,527
12641,10.1,No Different than U.S. National Rate,8.6,12,759,19.1,No Different than U.S. National Rate,16.8,21.6,749
12642,10.7,No Different than U.S. National Rate,8.8,12.9,538,20.3,No Different than U.S. National Rate,17.7,23.1,546
12643,9.9,No Different than U.S. National Rate,7.9,12.3,440,18.4,No Different than U.S. National Rate,15.6,21.6,430
12644,9.6,Better than U.S. National Rate,7.8,11.6,584,18.3,No Different than U.S. National Rate,15.9,21,619
12645,10.7,No Different than U.S. National Rate,9.3,12.2,1237,19.9,No Different than U.S. National Rate,17.9,22.1,1210
12646,11.7,No Different than U.S. National Rate,8.6,15.5,151,21.9,No Different than U.S. National Rate,18.1,25.9,166
12647,9.8,Better than U.S. National Rate,8.3,11.6,904,17.7,No Different than U.S. National Rate,15.4,20.1,886
12648,13.8,No Different than U.S. National Rate,10.9,17.3,251,23.5,Worse than U.S. National Rate,19.4,27.4,247
12649,10.1,No Different than U.S. National Rate,8.1,12.5,501,17.8,No Different than U.S. National Rate,15.1,20.9,506
12650,13.1,No Different than U.S. National Rate,10.9,15.6,585,21.8,Worse than U.S. National Rate,18.9,24.7,591
12651,13.7,No Different than U.S. National Rate,10.2,18.4,105,20.6,No Different than U.S. National Rate,16.6,25.2,108
12652,13.2,No Different than U.S. National Rate,10.1,16.9,169,19,No Different than U.S. National Rate,15.4,22.7,176
12653,10.6,No Different than U.S. National Rate,9.2,12.1,1152,20,No Different than U.S. National Rate,18,22.1,1145
12654,12.6,No Different than U.S. National Rate,10.3,15.4,413,20.6,No Different than U.S. National Rate,17.5,24,425
12655,12.9,No Different than U.S. National Rate,10.4,16.3,224,19.2,No Different than U.S. National Rate,16,23,213
12656,14,No Different than U.S. National Rate,11.4,17,356,19.9,No Different than U.S. National Rate,17,23.1,346
12657,10.2,No Different than U.S. National Rate,8.4,12.3,571,18.7,No Different than U.S. National Rate,16.2,21.4,586
12658,10,No Different than U.S. National Rate,7.8,12.6,369,18,No Different than U.S. National Rate,15.3,21,370
12659,13.4,No Different than U.S. National Rate,9.6,18.4,38,18.2,No Different than U.S. National Rate,14.2,22.9,37
12660,14.1,No Different than U.S. National Rate,11.9,16.7,525,17.9,No Different than U.S. National Rate,15.5,20.5,508
12661,9.8,Better than U.S. National Rate,7.9,11.9,422,20.1,No Different than U.S. National Rate,17.2,23.2,418
12662,9.6,Better than U.S. National Rate,8,11.5,688,21.5,Worse than U.S. National Rate,18.9,24,701
12663,9.7,Better than U.S. National Rate,8.1,11.6,549,20.7,No Different than U.S. National Rate,18.1,23.3,548
12664,12.3,No Different than U.S. National Rate,9.7,15.7,241,21.3,No Different than U.S. National Rate,17.8,24.9,258
12665,9.2,Better than U.S. National Rate,8,10.5,1529,18.2,No Different than U.S. National Rate,16.6,19.8,1545
12666,13.4,No Different than U.S. National Rate,10.1,17.4,144,19.1,No Different than U.S. National Rate,15.5,23.3,141
12667,8.9,Better than U.S. National Rate,7.2,11.1,518,17.6,No Different than U.S. National Rate,15,20.5,520
12668,9.9,No Different than U.S. National Rate,7.8,12.7,347,19.4,No Different than U.S. National Rate,16.4,22.6,355
12669,12.7,No Different than U.S. National Rate,10.7,15,687,18.8,No Different than U.S. National Rate,16.2,21.4,655
12670,9.6,Better than U.S. National Rate,7.8,11.8,517,19.3,No Different than U.S. National Rate,16.6,22.3,511
12671,10.5,No Different than U.S. National Rate,8.9,12.2,928,17.8,No Different than U.S. National Rate,15.7,20.2,927
12672,10.5,No Different than U.S. National Rate,8.8,12.4,744,18.9,No Different than U.S. National Rate,16.5,21.5,734
12673,10.6,No Different than U.S. National Rate,8.7,12.9,500,19.5,No Different than U.S. National Rate,16.7,22.7,491
12674,13.2,No Different than U.S. National Rate,10.9,15.5,582,17.2,No Different than U.S. National Rate,14.8,20.2,571
12675,16,No Different than U.S. National Rate,11.9,20.8,109,20.1,No Different than U.S. National Rate,16.2,24.8,98
12676,12.3,No Different than U.S. National Rate,10,15.4,289,17.4,No Different than U.S. National Rate,14.4,20.7,274
12677,11.3,No Different than U.S. National Rate,8.4,15,197,18.6,No Different than U.S. National Rate,15.4,22.4,195
12678,11.8,No Different than U.S. National Rate,9.8,14,681,19.9,No Different than U.S. National Rate,17.5,22.5,676
12679,11,No Different than U.S. National Rate,8.5,14,228,17.5,No Different than U.S. National Rate,14.5,21,227
12680,9.6,No Different than U.S. National Rate,7.7,12,465,23.3,Worse than U.S. National Rate,19.9,26.6,470
12681,9.8,Better than U.S. National Rate,8.1,11.7,506,17.1,No Different than U.S. National Rate,14.7,19.9,478
12682,11.1,No Different than U.S. National Rate,8,15,149,20.5,No Different than U.S. National Rate,16.9,24.6,160
12683,10.1,No Different than U.S. National Rate,8.1,12.7,336,18,No Different than U.S. National Rate,15.2,21.1,342
12684,10.1,No Different than U.S. National Rate,8.5,12.1,649,17.9,No Different than U.S. National Rate,15.5,20.6,645
12685,11,No Different than U.S. National Rate,9,13.3,464,18.5,No Different than U.S. National Rate,15.8,21.4,464
12686,9.6,No Different than U.S. National Rate,7.6,12.2,211,25.1,Worse than U.S. National Rate,20.9,28.8,202
12687,9.5,Better than U.S. National Rate,7.7,11.7,484,22.7,Worse than U.S. National Rate,19.6,25.6,506
12688,10.8,No Different than U.S. National Rate,9.4,12.5,1142,21.8,Worse than U.S. National Rate,19.6,24,1176
12689,12.2,No Different than U.S. National Rate,9.8,15.3,275,22.3,Worse than U.S. National Rate,18.8,25.9,266
12690,10.6,No Different than U.S. National Rate,8.1,13.6,188,19.8,No Different than U.S. National Rate,16.4,23.5,179
12691,13.1,No Different than U.S. National Rate,10.1,16.6,204,22.4,Worse than U.S. National Rate,18.8,26.2,201
12692,14.5,Worse than U.S. National Rate,12.6,16.5,814,18.4,No Different than U.S. National Rate,16.1,20.7,794
12693,13.5,No Different than U.S. National Rate,11.3,16.2,504,20.5,No Different than U.S. National Rate,17.6,23.7,478
12694,11.9,No Different than U.S. National Rate,9.9,14.1,693,20.4,No Different than U.S. National Rate,17.8,23.2,688
12695,11.5,No Different than U.S. National Rate,9.3,14,395,18.9,No Different than U.S. National Rate,16.2,21.9,398
12696,11.5,No Different than U.S. National Rate,9.3,14,424,17.7,No Different than U.S. National Rate,15.1,20.5,412
12697,10.1,No Different than U.S. National Rate,7.5,13.3,183,19.8,No Different than U.S. National Rate,16.1,23.8,188
12698,12.6,No Different than U.S. National Rate,9.3,16.4,136,21.1,No Different than U.S. National Rate,17,25.6,130
12699,9.9,No Different than U.S. National Rate,7,13.7,86,19.6,No Different than U.S. National Rate,15.8,24.1,93
12700,11.6,No Different than U.S. National Rate,8.1,16.5,70,18.1,No Different than U.S. National Rate,14.4,23,70
12701,16.9,Worse than U.S. National Rate,13.1,22,164,17.1,No Different than U.S. National Rate,13.9,21,178
12702,11.6,No Different than U.S. National Rate,9,14.8,263,18.6,No Different than U.S. National Rate,15.4,22.1,281
12703,11.7,No Different than U.S. National Rate,8.7,15.5,117,18.5,No Different than U.S. National Rate,14.7,23,119
12704,13.3,No Different than U.S. National Rate,10.1,17.3,177,16.5,No Different than U.S. National Rate,13.4,20.6,179
12705,12,No Different than U.S. National Rate,9.8,15,412,15.3,Better than U.S. National Rate,13,18.3,437
12706,11.8,No Different than U.S. National Rate,9.1,15.1,273,17,No Different than U.S. National Rate,14,20.5,286
12707,12.2,No Different than U.S. National Rate,8.8,16.3,118,18.2,No Different than U.S. National Rate,14.7,22.3,122
12708,11.2,No Different than U.S. National Rate,8,15.1,124,18.5,No Different than U.S. National Rate,14.6,23.1,123
12709,11.6,No Different than U.S. National Rate,8.9,15.2,178,18.6,No Different than U.S. National Rate,15.3,22.7,190
12710,12.7,No Different than U.S. National Rate,9.2,17.5,61,17.7,No Different than U.S. National Rate,14.1,22.2,58
12711,13.1,No Different than U.S. National Rate,10,16.9,149,16.7,No Different than U.S. National Rate,13.3,21,158
12712,13.5,No Different than U.S. National Rate,9.3,19.4,66,17.2,No Different than U.S. National Rate,13.5,22,76
12713,11,No Different than U.S. National Rate,8.6,13.7,399,16.8,No Different than U.S. National Rate,14.1,20,400
12714,12.6,No Different than U.S. National Rate,10.4,14.8,657,14.8,Better than U.S. National Rate,12.7,17.8,688
12715,14,No Different than U.S. National Rate,10.7,18,193,15.9,No Different than U.S. National Rate,12.7,19.8,199
12716,10.2,No Different than U.S. National Rate,7.2,14.3,97,17.5,No Different than U.S. National Rate,13.8,22.1,103
12717,12.5,No Different than U.S. National Rate,9.1,16.9,79,18.5,No Different than U.S. National Rate,14.4,23.2,82
12718,10.4,No Different than U.S. National Rate,7.5,14.1,178,18.7,No Different than U.S. National Rate,15.2,22.9,198
12719,Not Available,Number of Cases Too Small,Not Available,Not Available,11,Not Available,Number of Cases Too Small,Not Available,Not Available,11
12720,Not Available,Number of Cases Too Small,Not Available,Not Available,15,Not Available,Number of Cases Too Small,Not Available,Not Available,17
12721,11.7,No Different than U.S. National Rate,9,15.2,231,16.5,No Different than U.S. National Rate,13.3,20.5,247
12722,11.7,No Different than U.S. National Rate,8,16.3,44,17.1,No Different than U.S. National Rate,13.2,22.3,46
12723,11.2,No Different than U.S. National Rate,8.4,15,201,18.5,No Different than U.S. National Rate,15,22.8,213
12724,10.4,No Different than U.S. National Rate,7,15,60,17.5,No Different than U.S. National Rate,13.6,22.4,59
12725,12.7,No Different than U.S. National Rate,9.4,16.9,152,19.2,No Different than U.S. National Rate,15.6,23.4,164
12726,12.4,No Different than U.S. National Rate,9.1,16.7,64,17.3,No Different than U.S. National Rate,13.5,21.9,66
12727,Not Available,Number of Cases Too Small,Not Available,Not Available,21,Not Available,Number of Cases Too Small,Not Available,Not Available,22
12728,Not Available,Number of Cases Too Small,Not Available,Not Available,20,Not Available,Number of Cases Too Small,Not Available,Not Available,20
12729,9.5,No Different than U.S. National Rate,6.6,13.6,86,16.8,No Different than U.S. National Rate,13.3,21.4,98
12730,13.7,No Different than U.S. National Rate,10.1,18.1,129,18.6,No Different than U.S. National Rate,15,22.9,151
12731,14.6,No Different than U.S. National Rate,11.8,18,321,19.5,No Different than U.S. National Rate,16.5,23.1,326
12732,13.2,No Different than U.S. National Rate,9.2,18.2,64,18.3,No Different than U.S. National Rate,14.2,23.1,70
12733,13.1,No Different than U.S. National Rate,9,18.5,70,18.7,No Different than U.S. National Rate,14.8,23.7,75
12734,13.6,No Different than U.S. National Rate,9.7,18.8,60,16.4,No Different than U.S. National Rate,12.7,20.8,60
12735,13,No Different than U.S. National Rate,9.2,18,52,17,No Different than U.S. National Rate,13.3,22,51
12736,12.1,No Different than U.S. National Rate,8.3,17.1,34,18.9,No Different than U.S. National Rate,14.5,24.4,35
12737,12,No Different than U.S. National Rate,8.4,16.8,121,17,No Different than U.S. National Rate,13.2,21.5,122
12738,14.2,No Different than U.S. National Rate,10,19.8,72,17.6,No Different than U.S. National Rate,13.6,22.4,59
12739,11.1,No Different than U.S. National Rate,7.8,15.4,88,17.8,No Different than U.S. National Rate,14.1,22.6,88
12740,13.6,No Different than U.S. National Rate,9.4,18.8,59,17,No Different than U.S. National Rate,13.3,21.8,60
12741,10.3,No Different than U.S. National Rate,7.8,13.5,184,19.5,No Different than U.S. National Rate,16,23.4,178
12742,12.5,No Different than U.S. National Rate,9.9,15.6,286,19.2,No Different than U.S. National Rate,16,22.8,292
12743,12.2,No Different than U.S. National Rate,9.8,15.1,369,21.3,No Different than U.S. National Rate,18.2,24.7,362
12744,12.5,No Different than U.S. National Rate,10.7,14.6,806,17,No Different than U.S. National Rate,14.9,19.4,815
12745,10.9,No Different than U.S. National Rate,8.5,13.9,205,19.8,No Different than U.S. National Rate,16.6,23.3,209
12746,14,No Different than U.S. National Rate,10.5,18.3,114,18.5,No Different than U.S. National Rate,14.9,23,109
12747,10.5,No Different than U.S. National Rate,7.6,14.2,134,24.8,Worse than U.S. National Rate,20.2,29.8,133
12748,13.9,No Different than U.S. National Rate,11.6,16.4,581,17.9,No Different than U.S. National Rate,15.5,20.7,613
12749,10,No Different than U.S. National Rate,7.6,13.1,219,19.6,No Different than U.S. National Rate,16.3,23.4,224
12750,12.9,No Different than U.S. National Rate,10,16.5,162,20.3,No Different than U.S. National Rate,16.6,24.6,169
12751,11.9,No Different than U.S. National Rate,9.6,14.8,275,23.4,Worse than U.S. National Rate,19.6,27.1,253
12752,12.1,No Different than U.S. National Rate,10.3,14.2,758,22.6,Worse than U.S. National Rate,19.8,25.2,759
12753,9.2,Better than U.S. National Rate,7.8,10.7,885,22.1,Worse than U.S. National Rate,19.5,24.7,872
12754,14.9,No Different than U.S. National Rate,11.9,18.5,183,23.4,Worse than U.S. National Rate,19.3,27.7,173
12755,13.5,No Different than U.S. National Rate,10.7,17.2,247,19.4,No Different than U.S. National Rate,16.4,22.9,232
12756,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12757,13.6,No Different than U.S. National Rate,10.3,17.7,169,20.1,No Different than U.S. National Rate,16.4,24.3,163
12758,13,No Different than U.S. National Rate,9.8,17.3,152,17,No Different than U.S. National Rate,13.6,21.1,142
12759,11.4,No Different than U.S. National Rate,8,15.6,106,18.5,No Different than U.S. National Rate,14.8,22.7,116
12760,13.5,No Different than U.S. National Rate,10.9,16.5,355,18.5,No Different than U.S. National Rate,15.5,21.9,335
12761,12,No Different than U.S. National Rate,10.1,14.2,641,20.6,No Different than U.S. National Rate,18,23.4,619
12762,11.2,No Different than U.S. National Rate,9.4,13.3,717,19.1,No Different than U.S. National Rate,16.7,21.6,692
12763,10.9,No Different than U.S. National Rate,9.1,13,557,22.1,Worse than U.S. National Rate,18.7,25.1,570
12764,13.3,No Different than U.S. National Rate,10.7,16.4,234,17.5,No Different than U.S. National Rate,14.6,21.2,241
12765,10.9,No Different than U.S. National Rate,7.8,15,99,19.6,No Different than U.S. National Rate,15.7,24.1,102
12766,12.5,No Different than U.S. National Rate,9.2,16.7,126,17.5,No Different than U.S. National Rate,14.2,21.9,126
12767,13,No Different than U.S. National Rate,11.5,14.8,933,22,Worse than U.S. National Rate,19.4,24.4,867
12768,13.7,No Different than U.S. National Rate,10.7,16.9,201,20.4,No Different than U.S. National Rate,16.9,24.1,192
12769,9.2,Better than U.S. National Rate,7.8,11,712,19.9,No Different than U.S. National Rate,17.6,22.7,712
12770,13.5,No Different than U.S. National Rate,10.1,17.5,146,16.2,No Different than U.S. National Rate,12.9,20.5,142
12771,10.6,No Different than U.S. National Rate,9,12.5,838,21.9,Worse than U.S. National Rate,19.5,24.5,846
12772,14.4,No Different than U.S. National Rate,11.7,17.6,373,19.1,No Different than U.S. National Rate,16.1,22.5,356
12773,14.8,Worse than U.S. National Rate,12.2,17.8,301,20.9,No Different than U.S. National Rate,17.4,24.7,283
12774,10.1,No Different than U.S. National Rate,7.5,13.5,121,18.6,No Different than U.S. National Rate,15.2,22.9,124
12775,11.8,No Different than U.S. National Rate,8.7,15.5,203,20.6,No Different than U.S. National Rate,17,24.7,202
12776,12.2,No Different than U.S. National Rate,9.2,15.9,195,20.6,No Different than U.S. National Rate,17,24.6,190
12777,13.9,No Different than U.S. National Rate,10.8,17.7,185,19.5,No Different than U.S. National Rate,15.9,23.6,186
12778,9.5,No Different than U.S. National Rate,7.1,12.7,244,18.4,No Different than U.S. National Rate,15.2,22.2,250
12779,10.9,No Different than U.S. National Rate,8,14.8,125,19.8,No Different than U.S. National Rate,16.1,24.2,122
12780,15,No Different than U.S. National Rate,11.2,19.6,105,20.6,No Different than U.S. National Rate,16.4,25.3,105
12781,13.1,No Different than U.S. National Rate,9.9,17.2,144,18.7,No Different than U.S. National Rate,15.3,22.9,149
12782,12.8,No Different than U.S. National Rate,9.9,16.2,252,16.9,No Different than U.S. National Rate,13.9,20.9,239
12783,12.2,No Different than U.S. National Rate,8.6,17,65,19.7,No Different than U.S. National Rate,15.6,24.4,63
12784,12.2,No Different than U.S. National Rate,8.8,16.7,118,18.4,No Different than U.S. National Rate,14.8,22.8,114
12785,11.1,No Different than U.S. National Rate,9.2,13.4,532,21.2,No Different than U.S. National Rate,18.4,23.9,565
12786,11.4,No Different than U.S. National Rate,9,14.4,305,19,No Different than U.S. National Rate,16.1,22.3,340
12787,14.2,No Different than U.S. National Rate,10.8,18.7,132,17.5,No Different than U.S. National Rate,14,21.7,125
12788,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12789,8.1,Better than U.S. National Rate,7.1,9.4,1350,20,No Different than U.S. National Rate,18.1,22,1342
12790,13.7,No Different than U.S. National Rate,10.1,18.1,115,20.2,No Different than U.S. National Rate,16.1,25.1,112
12791,10.8,No Different than U.S. National Rate,8.6,13.6,286,17.6,No Different than U.S. National Rate,14.7,21.1,276
12792,12.4,No Different than U.S. National Rate,10.4,14.8,562,19,No Different than U.S. National Rate,16.5,21.7,587
12793,10.4,Better than U.S. National Rate,9.1,11.8,1296,19.4,No Different than U.S. National Rate,17.5,21.5,1261
12794,12.7,No Different than U.S. National Rate,9.8,16.1,231,19.6,No Different than U.S. National Rate,16.3,23.3,227
12795,11.3,No Different than U.S. National Rate,9,13.9,355,20.8,No Different than U.S. National Rate,17.5,24,355
12796,12,No Different than U.S. National Rate,8.6,16.2,139,21.8,No Different than U.S. National Rate,17.8,26.5,143
12797,16,Worse than U.S. National Rate,12.2,20.8,149,20.9,No Different than U.S. National Rate,16.8,25.6,140
12798,11.6,No Different than U.S. National Rate,9.6,13.9,500,21.4,No Different than U.S. National Rate,18.4,24.5,510
12799,11.7,No Different than U.S. National Rate,8.7,15.5,171,18,No Different than U.S. National Rate,14.7,21.8,206
12800,11.4,No Different than U.S. National Rate,9.1,14.2,329,21.4,No Different than U.S. National Rate,18.1,24.8,358
12801,11.5,No Different than U.S. National Rate,9.9,13.3,858,22.2,Worse than U.S. National Rate,19.9,24.7,879
12802,11.8,No Different than U.S. National Rate,8.5,16.1,89,21.6,No Different than U.S. National Rate,17.2,26.3,92
