Provider Number,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia
10944,11.4,No Different than U.S. National Rate,8.1,15.9,79,18.4,No Different than U.S. National Rate,14.7,22.9,83
10945,14.6,No Different than U.S. National Rate,11.3,18.8,186,17.3,No Different than U.S. National Rate,14.1,21.1,206
10946,11.8,No Different than U.S. National Rate,9.5,14.6,453,15.5,Better than U.S. National Rate,13.2,18.4,491
10947,16.6,Worse than U.S. National Rate,12.5,21.3,117,20.4,No Different than U.S. National Rate,16.4,25.2,120
10948,18.3,Worse than U.S. National Rate,14.6,22.6,165,17.2,No Different than U.S. National Rate,13.9,20.9,164
10949,10,No Different than U.S. National Rate,8.1,12.1,572,18.9,No Different than U.S. National Rate,16.5,21.5,607
10950,12.6,No Different than U.S. National Rate,9.6,16.3,181,19.4,No Different than U.S. National Rate,15.9,23.1,184
10951,13,No Different than U.S. National Rate,9.4,17.8,113,20,No Different than U.S. National Rate,16,24.5,111
10952,10.2,No Different than U.S. National Rate,8,12.7,403,17.3,No Different than U.S. National Rate,14.7,20.3,433
10953,18.3,Worse than U.S. National Rate,14.4,22.9,205,20.8,No Different than U.S. National Rate,17.1,24.8,219
10954,12.8,No Different than U.S. National Rate,10.6,15.4,486,17.5,No Different than U.S. National Rate,14.9,20.5,493
10955,11.2,No Different than U.S. National Rate,8.6,14.4,211,19.1,No Different than U.S. National Rate,15.8,22.4,223
10956,14.1,No Different than U.S. National Rate,10.7,18.4,146,18.5,No Different than U.S. National Rate,15,22.7,168
10957,12.3,No Different than U.S. National Rate,10.1,14.8,471,15.1,Better than U.S. National Rate,12.8,18.4,493
10958,9.2,Better than U.S. National Rate,7.4,11.3,487,17.9,No Different than U.S. National Rate,15.4,20.8,513
10959,15.1,No Different than U.S. National Rate,11.9,18.7,331,18.7,No Different than U.S. National Rate,15.7,22.3,345
10960,10.1,No Different than U.S. National Rate,8.4,12.1,755,18.7,No Different than U.S. National Rate,16.5,21.2,810
10961,14.3,No Different than U.S. National Rate,11.1,18.2,256,21.1,No Different than U.S. National Rate,17.6,24.8,275
10962,14.6,No Different than U.S. National Rate,11.5,18.4,270,19.9,No Different than U.S. National Rate,16.5,23.5,275
10963,10.1,No Different than U.S. National Rate,7.6,13.3,164,19.4,No Different than U.S. National Rate,16.1,23.3,179
10964,13.9,No Different than U.S. National Rate,11,17.4,317,18.9,No Different than U.S. National Rate,15.9,22.4,313
10965,10.3,No Different than U.S. National Rate,7.2,14.6,82,19.1,No Different than U.S. National Rate,15.2,23.9,86
10966,11.9,No Different than U.S. National Rate,8.1,16.8,47,18.3,No Different than U.S. National Rate,14.3,23.3,45
10967,12.8,No Different than U.S. National Rate,10.1,16.2,202,22.4,Worse than U.S. National Rate,18.6,26.5,206
10968,10.8,No Different than U.S. National Rate,8.2,14.1,206,17.8,No Different than U.S. National Rate,14.5,21.3,219
10969,10.6,No Different than U.S. National Rate,8.4,13.1,381,20.5,No Different than U.S. National Rate,17.6,23.7,409
10970,13,No Different than U.S. National Rate,9.5,17.8,124,21.3,No Different than U.S. National Rate,17.2,25.9,133
10971,18.5,Worse than U.S. National Rate,14.2,23.7,123,17.7,No Different than U.S. National Rate,14.2,21.9,115
10972,13.9,No Different than U.S. National Rate,10,18.8,45,18.9,No Different than U.S. National Rate,14.7,23.5,41
10973,15.3,No Different than U.S. National Rate,11.4,20.4,106,18,No Different than U.S. National Rate,14.4,22.7,108
10974,15.2,No Different than U.S. National Rate,11.3,20,83,16.6,No Different than U.S. National Rate,13.1,20.5,83
10975,12.6,No Different than U.S. National Rate,8.9,17.8,69,17.3,No Different than U.S. National Rate,13.5,22.2,68
10976,13,No Different than U.S. National Rate,10.2,16.2,356,18.5,No Different than U.S. National Rate,15.6,21.8,354
10977,12.6,No Different than U.S. National Rate,10,15.7,280,19.9,No Different than U.S. National Rate,16.9,23.5,294
10978,16.3,Worse than U.S. National Rate,12.5,20.7,200,15.5,No Different than U.S. National Rate,12.3,19.3,195
10979,10.2,No Different than U.S. National Rate,7.4,13.6,162,18.3,No Different than U.S. National Rate,14.9,22.5,178
10980,14.9,Worse than U.S. National Rate,12.5,17.8,548,16.9,No Different than U.S. National Rate,14.4,19.8,545
10981,12.7,No Different than U.S. National Rate,8.7,17.9,39,17.9,No Different than U.S. National Rate,14,22.6,36
10982,14.8,No Different than U.S. National Rate,11.2,19.4,155,18.6,No Different than U.S. National Rate,14.8,22.9,149
10983,13.5,No Different than U.S. National Rate,10.1,17.8,89,19.6,No Different than U.S. National Rate,15.7,24.1,95
10984,11.2,No Different than U.S. National Rate,8.1,15.2,96,18.3,No Different than U.S. National Rate,14.6,23,105
10985,13.1,No Different than U.S. National Rate,10.8,15.7,513,19.8,No Different than U.S. National Rate,17,22.6,532
10986,13,No Different than U.S. National Rate,9.1,18.2,77,18.7,No Different than U.S. National Rate,14.9,23.7,73
10987,12,No Different than U.S. National Rate,9.2,15.5,175,17.4,No Different than U.S. National Rate,14.3,21.2,186
10988,10.7,No Different than U.S. National Rate,8,13.9,191,19.1,No Different than U.S. National Rate,15.8,22.8,210
10989,11,No Different than U.S. National Rate,8.3,14.4,193,19.3,No Different than U.S. National Rate,15.7,23.7,184
10990,13.6,No Different than U.S. National Rate,10.3,18,156,18.1,No Different than U.S. National Rate,14.7,22.3,158
